
 Prekė #1: Mėsainis @ 9.99 Eur
 Prekė #2: Mėsainis @ 9.99 Eur
 Prekė #3: Mėsainis @ 9.99 Eur
 Prekė #4: Kievo kotletas @ 13.99 Eur
 Prekė #5: Kievo kotletas @ 13.99 Eur
 Prekė #6: Pica @ 11.99 Eur
 Prekė #7: Pica @ 11.99 Eur
 Prekė #8: Vegan item #1 @ 8.99 Eur
 Prekė #9: Vegan item #2 @ 10.99 Eur
 Prekė #10: Vanduo @ 0.99 Eur
 Prekė #11: Arbata @ 1.99 Eur
 Prekė #12: Kava @ 2.99 Eur
 Prekė #13: Kokteilis @ 3.99 Eur
Mokėtina suma: 111.87 Eur
Čekio data: 2022-3-14, 12:11 

 Prekė #1: Mėsainis @ 9.99 Eur
 Prekė #2: Mėsainis @ 9.99 Eur
 Prekė #3: Mėsainis @ 9.99 Eur
 Prekė #4: Mėsainis @ 9.99 Eur
Mokėtina suma: 39.96 Eur
Čekio data: 2022-3-14, 12:13 
